intro,links
"Dumping of sewage in water bodies is an offence, the National Green Tribunal said today while slapping a penalty of <span class=""rupee"">R<span>s.</span></span> 25 lakh on the Uttar Pradesh government for its failure to stop discharge of dirty water into Upper Ganga canal.",https://www.ndtv.com/india-news/pained-says-himanta-biswa-sarma-after-mamata-banerjee-links-him-to-saradha-scam-1988760
Kolkata Police Commissioner Rajeev Kumar sitting alongside West Bengal Chief Minister Mamata Banerjee on a dharna has not gone down well with the Ministry of Home Affairs. The ministry has asked the Bengal government to initiate disciplinary proceedings against him.,https://www.ndtv.com/india-news/gujarat-government-increases-visiting-hours-of-state-of-unity-by-2-hours-1988758
"Union Minister Giriraj Singh said a chief minister sitting on a dharna with a police commissioner will be the ""misfortune"" of India's democracy.",https://www.ndtv.com/india-news/mamata-banerjee-says-wasnt-allowed-stay-in-guest-house-in-bihar-maharashtra-1988757
"Election strategist-turned-politician Prashant Kishor's lunch meeting today with Shiv Sena chief Uddhav Thackeray and his son Aaditya Thackeray has caused much buzz in election season. Aaditya Thackeray described him as ""special visitor"" in a tweet that showed the Thackeray duo chatting with Prashant Kishor, who joined politics last year as the number two man of Bihar's ruling Janata Dal United.",https://www.ndtv.com/india-news/rs-25-lakh-fine-imposed-on-uttar-pradesh-government-for-sewage-dumping-in-upper-ganga-canal-1988753
"After four extra hours, several hiccups and a strong dose of suspense, Yogi Adityanath today addressed a crowd of hundreds in Bengal's Purulia that has been waiting since morning.",https://www.ndtv.com/india-news/kolkata-police-commissioner-rajeev-kumar-home-ministry-wants-disciplinary-proceedings-initiated-1988752
"It was horrific, said activist and academic Anand Teltumbde, who was arrested from Mumbai last week in the Elgar Parishad case only to be released hours later as the Supreme Court had provided him protection from arrest till February 11.",https://www.ndtv.com/india-news/union-minister-giriraj-singh-calls-mamata-banerjee-super-nautanki-master-1988734
"Popular television actor Shilpa Shinde joined the Congress on Tuesday at a function in Mumbai. The party's Maharashtra unit chief, Sanjay Nirupam, welcomed her. Party leader Charan Singh Sapra was also present at the function.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-prashant-kishors-lunch-with-shiv-senas-thackerays-causes-double-take-1988714
"PC Mohanan grew up in a village without electricity, studied statistics at a public university, and then spent more than three decades crunching numbers for the government. But in the past week, the mild-mannered official has been caught up in a political storm that has threatened to undermine Prime Minister Narendra Modi's government months before the general elections.",https://www.ndtv.com/india-news/at-bengal-rally-yogi-adityanath-says-mamata-banerjee-protecting-corrupt-officer-1988708
"The Rajasthan government has issued an order to provide a grant of <span class=""rupee"">R<span>s.</span></span> 2 per litre to farmers who supply milk to dairy cooperative societies, an official release said.",https://www.ndtv.com/india-news/it-was-humiliating-activist-anand-teltumbde-on-his-arrest-by-pune-police-1988703
"The government informed the Lok Sabha on Tuesday that there is no proposal to scrap the sedition law, under which the maximum punishment is life imprisonment.",https://www.ndtv.com/india-news/shilpa-shinde-tv-actor-joins-congress-1988698
The Delhi Commission for Protection of Child Rights (DCPCR) on Monday said that online video games like PUBG have an adverse impact on children's brains.,https://www.ndtv.com/india-news/no-regrets-says-statistician-pc-mohanan-who-quit-over-damning-jobs-report-1988696
"An alliance of regional parties is working on a combined economic plan, one of its leaders said, in the latest sign that Prime Minister Narendra Modi faces an increasingly united opposition in the upcoming general elections.",https://www.ndtv.com/india-news/rajasthan-government-to-provide-rs-2-per-litre-grant-to-dairy-farmers-1988691
"The Supreme Court today asked senior advocate Ranjit Kumar, who is assisting it as an amicus curiae in a matter related to administration of Jagannath temple in Puri, to visit the shrine to assess the ground reality there.",https://www.ndtv.com/india-news/no-proposal-to-scrap-sedition-law-government-to-lok-sabha-1988688
The Enforcement Directorate (ED) told a special court on Tuesday that it had no objection to restoration of fugitive businessman Vijay Mallya's properties to a consortium of banks.,https://www.ndtv.com/india-news/online-games-like-pubg-god-of-war-harmful-says-delhi-commission-for-protection-of-child-rights-1988683
Union minister Subhash Bhamre today said the country is going to invest huge resources on modernisation of the defence sector in the coming years. Subhash Bhamre said a lot of defence equipment are being imported and called for better collaboration between the defence sector and the industry.,https://www.ndtv.com/india-news/lok-sabha-elections-2019-anybody-is-better-than-narendra-modi-because-chandrababu-naidu-1988676
"The government cannot push the deadline for releasing the final list of people included in the Assam citizens' list beyond July 31, the Supreme Court said today, as it criticised the Home Ministry for seeking to stop work related to the National Register of Citizens during the Lok Sabha elections due by May.",https://www.ndtv.com/india-news/supreme-court-slams-centre-on-assam-citizens-list-home-ministry-trying-to-destroy-process-1988643
"Putting its ally BJP in Uttar Pradesh on notice, the Suheldev Bhartiya Samaj Party has said the option of going with the SP-BSP alliance in the general elections was open to the party.",https://www.ndtv.com/india-news/option-of-going-with-samajwadi-party-bsp-is-still-open-om-prakash-rajbhar-1988623
"As thousands of people waited at Purulia for Yogi Adityanath to arrive, the Bengal government said the scheduled rally cannot be held as the paperwork was incomplete. The Uttar Pradesh Chief Minister is on his way to the venue by road.",https://www.ndtv.com/india-news/crowds-wait-yogi-adityanath-on-way-but-question-mark-on-bengal-rally-1988613
"Daughters of farmers in Puntamba village of Maharashtra, which saw a movement for loan waiver two years ago, launched an agitation today in support of their demands for cultivators.",https://www.ndtv.com/india-news/farmers-daughters-in-maharashtras-puntamba-village-launch-protest-demand-farm-loan-waiver-1988603
"Film and television personalities should be roped in to raise awareness on pollution in the Yamuna River and spread the message that idol immersion is leading to ""unacceptably high level of toxicity"" in the water, a committee appointed by the National Green Tribunal said.",https://www.ndtv.com/india-news/get-celebrities-to-raise-awareness-on-yamuna-river-pollution-national-green-tribunal-committee-1988587
"The budget session of the Uttar Pradesh Assembly was off to a stormy start today, as legislators of the Bahujan Samaj Party (BSP) and Samajwadi Party (SP) hurled paper balls, raised slogans and climbed on chairs as Governor Ram Naik addressed the joint session.",https://www.ndtv.com/india-news/uttar-pradesh-assembly-budget-session-samajwadi-party-and-bsp-lawmakers-threw-paper-balls-at-governo-1988582
"Describing the interim budget 2019-20 as ''self-serving,'' actor-politician Kamal Haasan Tuesday said it sounded in parts ""like the legitimate version of money for votes.""",https://www.ndtv.com/india-news/kamal-haasan-describes-interim-budget-as-self-serving-1988566
"Security Forces conducted an overnight search operation near the International Border in Jammu and Kashmir's Samba district following information about movement of three armed persons, a police official said Tuesday.",https://www.ndtv.com/india-news/searches-near-international-border-in-jammu-and-kashmirs-samba-after-suspected-movement-of-armed-per-1988563
