intro,links
"Robert Vadra, Congress president Rahul Gandhi's brother-in-law, lashed out at what he called a ""vindictive government"" on Tuesday over the Enforcement Directorate's summons to his 75-year-old mother Maureen Vadra along with him in a money-laundering case.",https://www.ndtv.com/india-news/robert-vadra-on-questioning-of-mother-maureen-vadra-lows-of-this-vindictive-government-1992025
"After visit to Mumbai's Siddhivinayak temple to offer the first invitation card for their son Akash's wedding with Shloka Mehta, Reliance chairman Mukesh Ambani and wife Nita have officially begun inviting people for the event, expected next month.",https://www.ndtv.com/india-news/mukesh-ambani-nita-begin-invitation-for-son-akashs-wedding-invite-dmk-chief-1992004
A Tripura minister seen on video groping a female ministerial colleague on stage in the presence of Prime Minister Narendra Modi has landed in a major controversy with the opposition demanding that he be fired and charged with sexual harassment.,https://www.ndtv.com/india-news/on-stage-with-pm-modi-tripura-minister-monoj-kanti-deb-groped-colleague-video-shows-1992003
"Congress president Rahul Gandhi on Monday formed the election committee, coordination committee and campaign committee of the party's Kerala unit, a statement said.",https://www.ndtv.com/india-news/congress-president-rahul-gandhi-forms-poll-panels-for-kerala-andhra-pradesh-1991995
"As many as 79 fresh cases of Swine flu were detected in Rajasthan on Monday, according to data issued by the state's Health Department.",https://www.ndtv.com/india-news/79-new-swine-flu-cases-detected-in-rajasthan-number-of-deaths-reach-112-1991978
Samajwadi Party (SP) chief Akhilesh Yadav on Monday said that many small regional players were part of the SP-BSP alliance and all other parties should come together to oust BJP from power at the Centre in the coming Lok Sabha polls.,https://www.ndtv.com/india-news/samajwadi-party-chief-akhilesh-yadav-says-small-parties-are-with-samajwadi-party-bsp-alliance-1991975
"Taking a jibe at Congress President Rahul Gandhi, Union Minister Smriti Irani on Monday sought to know how those who ""looted the poor"" could criticize Prime Minister Narendra Modi.",https://www.ndtv.com/india-news/union-minister-smriti-irani-asks-congress-president-rahul-gandhi-how-can-those-who-looted-poor-targe-1991972
"After questioning for three consecutive days, the CBI on Monday asked Kolkata Police Commissioner Rajeev Kumar to report to them again today for further quizzing in the multi-crore Saradha chit fund case.",https://www.ndtv.com/india-news/cbi-to-continue-grilling-kolkata-top-cop-rajeev-kumar-today-1991971
"The Aam Aadmi Party (AAP) has invited Congress President Rahul Gandhi to attend its mega ""Tanashahi Hatao, Loktantra Bachao"" rally in the national capital on Wednesday to corner the BJP-led NDA government at the Centre, a senior party leader said.",https://www.ndtv.com/india-news/rahul-gandhi-invited-for-aaps-tanashahi-hatao-loktantra-bachao-rally-1991969
"As feud within the Chautala family continues to play out in public, Hisar lawmaker Dushyant Chautala asked his uncle Abhay Chautala to apologise or face legal notice after the senior INLD leader had accused his father Ajay Chautala, of selling party tickets in the 2014 assembly elections.",https://www.ndtv.com/india-news/dushyant-chautalas-warning-to-uncle-over-allegations-against-father-1991963
"Tamil Nadu's ruling AIADMK, which is being wooed by the BJP ahead of the Lok Sabha polls, on Monday criticized the Narendra Modi government on various fronts including demonetization, GST, unemployment and farm distress.",https://www.ndtv.com/india-news/bjps-interim-budget-is-an-election-manifesto-says-aiadmk-1991958
"A life-size portrait of former Prime Minister Atal Bihari Vajpayee will be unveiled by the President in Parliament House on Tuesday, an official said.",https://www.ndtv.com/india-news/life-size-portrait-of-atal-bihari-vajpayee-to-be-unveiled-in-parliament-1991956
"Two more main accused in the deaths of over a 100 people after consuming toxic liquor in Uttarakhand and Uttar Pradesh have been arrested, the police said on Monday. Hardev and Sukhwinder, residents of Saharanpur in western UP, were arrested in the district where over 35 people died after consuming toxic liquor.",https://www.ndtv.com/india-news/2-more-arrested-in-toxic-liquor-case-uttarakhand-forms-special-probe-team-1991954
"In a setback to the ruling CPI(M) in Kerala, the CBI on Monday filed murder and conspiracy charges against party strongman P Jayarajan in a case relating to the murder of a 22-year-old Muslim Students Federation activist in 2012.",https://www.ndtv.com/india-news/cbi-charges-kerala-cpm-leaders-p-jayarajan-tv-rajesh-for-murder-of-activist-in-2012-1991951
"The Congress on Monday slammed BJP parliamentarian Harish Dwivedi for his reported comments against party leader Priyanka Gandhi Vadra, calling them ""sexist and inappropriate"".",https://www.ndtv.com/india-news/bjp-lawmaker-slammed-for-comment-on-priyanka-gandhi-vadra-1991950
"Reacting strongly to veteran actor-director Amol Palekar being interrupted during a speech at the National Gallery of Modern Art (NGMA) in Mumbai when he criticised the government, author Nayantara Sahgal has said that the country is not facing intolerance but is under ""outright dictatorship"".",https://www.ndtv.com/india-news/nayantara-sahgal-says-government-behaving-like-hitlers-germany-1991949
"Army soldiers on Monday evacuated a woman, pregnant with twins and stuck in deep snow, in Jammu and Kashmir, carrying her on foot to a hospital where she safely delivered the babies.",https://www.ndtv.com/india-news/army-evacuates-pregnant-woman-stuck-in-snow-she-delivers-twins-later-1991948
"Assamese music legend Bhupen Hazarika's son on Monday strongly criticized the centre over the Citizenship (Amendment) Bill 2016, and called the government's move to award his father with the Bharat Ratna ""a display of short lived cheap thrills"".",https://www.ndtv.com/india-news/citizenship-amendment-bill-2016-decision-to-award-bharat-ratna-cheap-thrills-bhupen-hazarikas-son-1991947
"The Supreme Court today said that the criminal justice delivery system can't be allowed to veer exclusively to the benefit of the offender, thereby making it an unidirectional exercise and that proper course of balancing the rights of the accused and that of the prosecution was needed.",https://www.ndtv.com/india-news/justice-system-cant-be-skewed-towards-offenders-benefit-supreme-court-1991945
"The Citizenship (Amendment) Bill 2016, which seeks to provide citizenship to six minority groups from Afghanistan, Pakistan and Bangladesh, will be presented in Rajya Sabha today amid protests in the northeast against it.",https://www.ndtv.com/india-news/citizenship-bill-in-rajya-sabha-tomorrow-amid-protests-in-northeast-1991942
"Bahujan Samaj Party chief Mayawati on Monday took a swipe at Prime Minister Narendra Modi over the Rafale deal, saying honesty, national interest and national security can be compromised and ignored for the sake of the ""chowkidar"".",https://www.ndtv.com/india-news/lok-sabha-elections-2019-national-interest-ignored-for-sake-of-chowkidar-says-mayawati-1991939
The Bombay High Court on Monday granted further protection against arrest to accused academic Prof Anand Teltumbde and posted his application seeking an anticipatory bail for February 22.,https://www.ndtv.com/india-news/in-koregaon-bhima-case-anand-teltumbde-gets-protection-from-arrest-till-february-22-1991935
"Prime Minister Narendra Modi on Monday said that no one in the country can repay the debt of the cow's milk, saying the bovine has been an important part of India's tradition and culture.",https://www.ndtv.com/india-news/pm-modi-in-vrindavan-cannot-repay-debt-of-cows-milk-1991933
Peoples Conference led by separatist-turned-politician Sajad Gani Lone announced today that it will field a former PDP leader and a businessman on two Lok Sabha seats in Jammu and Kashmir.,https://www.ndtv.com/india-news/lok-sabha-election-2019-sajad-lones-party-fields-2-candidates-for-polls-from-jammu-and-kashmir-1991927
"Cracking the whip, the Congress on Monday sought disqualification of four rebel lawmakers under the Anti-Defection law after they repeatedly remained defiant, skipping the assembly session and legislature party meetings.",https://www.ndtv.com/india-news/karnataka-congress-seeks-disqualification-of-rebel-lawmakers-1991925
