intro,links
"In the wake of soaring tensions between India and Pakistan, the Thar Express, which plies between Jodhpur and Munabao in Barmer, the last station of India and connects finally with Karachi in Pakistan through Khokhrapar, the first station in Pakistan departed on Friday on its usual time.",https://www.ndtv.com/india-news/amid-tensions-thar-express-from-india-departs-for-pakistan-on-right-time-2001527
"BJP President Amit Shah on Friday described Wing Commander Abhinandan Varthaman as a symbol of ""bravery and valour"" and said the diplomatic pressure by India forced Pakistan to order his release within 24 hours.",https://www.ndtv.com/india-news/amit-shah-on-wing-commander-abhinandan-varthamans-release-pakistan-bowed-before-diplomatic-pressure-2001525
"France on Friday extended its complete solidarity with India in the fight against terrorism in all its forms, as it welcomed the easing of tensions between India and Pakistan and the release the IAF pilot Abhinandan Varthaman.",https://www.ndtv.com/india-news/france-extends-complete-solidarity-with-india-in-fight-against-terrorism-2001502
"Narendra Modi has taken the ""Narasimha avatar"", Tamil Nadu Deputy Chief Minister O Panneerselvam said Friday, likening him to the incarnation of Lord Vishnu as he and chief minister K Palaniswami praised the Prime Minister for ""decimating"" terrorists in Pakistan in air strikes.",https://www.ndtv.com/india-news/pm-modi-has-taken-narasimha-avtar-says-aiadmk-on-airstrikes-2001501
A Gujarat court on Friday awarded two year and nine months rigorous imprisonment to local Congress MLA Bhagvan Barad in an illegal mining case registered in 1995.,https://www.ndtv.com/india-news/court-gives-rigorous-imprisonment-to-gujarat-lawmaker-in-mining-case-2001496
A team of rescuers from the Navy and Army Friday announced to leave the operation site in Meghalaya's East Jaintia Hills district after 60 days of searching the 15 miners trapped in a 370 feet-deep illegal coal mine.,https://www.ndtv.com/india-news/navy-army-decide-to-end-operation-in-meghalayas-mine-tragedy-2001493
"Prime Minister Narendra Modi Friday said the 2019 Lok Sabha election was about offering strength against vulnerability, asserting the BJP-led NDA would provide stability.",https://www.ndtv.com/india-news/lok-sabha-polls-about-stability-versus-vulnerability-pm-modi-2001491
"PM Modi said over 1.1 crore farmers have already received their first instalment of <span class=""rupee"">R<span>s.</span></span> 2,000 under the Pradhan Mantri Kisan Samman Nidhi Yojana",https://www.ndtv.com/india-news/pm-modi-in-kanyakumari-over-1-1-crore-farmers-got-first-installment-under-pradhan-mantri-kisan-samma-2001490
"Union Minister Smriti Irani on Friday credited Indian Air Force pilot Abhinandan Varthaman's return within two days of his capture by Pakistan to the ""valour of an RSS volunteer"", in an apparent reference to Prime Minister Narendra Modi.",https://www.ndtv.com/india-news/rss-workers-valour-ensured-captured-pilots-return-says-smriti-irani-2001489
"Referring to the release of Air Force Wing Commander Abhinandan Varthaman, Uttar Pradesh Chief Minister Yogi Adityanath said Friday that Prime Minister Narendra Modi had warned Pakistan not to harm him.",https://www.ndtv.com/india-news/pm-modi-warned-pakistan-not-to-harm-abhinandan-varthaman-yogi-adityanath-2001486
"Punjab Chief Minister Amarinder Singh Friday urged Pakistan to admit to, and release, the Prisoners of War (PoWs) in its captivity from the 1971 war.",https://www.ndtv.com/india-news/amarinder-singh-to-pakistan-release-prisoners-of-war-from-1971-war-2001481
"BJP President Amit Shah will launch a nationwide mega bike rally in Madhya Pradesh on Saturday, ahead of the Lok Sabha election in May.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-amit-shah-to-launch-mega-bike-rally-in-madhya-pradesh-tomorrow-2001477
"Candidates in the upcoming Lok Sabha elections will have to declare their offshore moveable assets and liabilities in their affidavit, as per an amendment made by the Election Commission of India (ECI), an official said on Friday.",https://www.ndtv.com/india-news/election-candidates-will-now-have-to-declare-offshore-assets-2001466
"Indian Air Force pilot Abhinandan Varthaman, who was captured by Pakistan when he crossed the Line of Control chasing a Pak F-16 fighter jet, was handed back to Indian authorities tonight and crossed the Attari-Wagah border around 9.20, about three hours after he was reportedly scheduled to return.",https://www.ndtv.com/india-news/pakistan-puts-out-abhinandan-varthamans-video-just-before-releasing-him-2001461
"Prime Minister Narendra Modi welcomed Wing Commander Abhinandan Varthaman with a warm tweet on Friday night, shortly after the captured pilot was escorted into India through the Wagah crossing amid loud cheers from jubilant crowds.",https://www.ndtv.com/india-news/nation-proud-of-your-exemplary-courage-pm-modi-on-abhinandan-varthaman-s-return-2001454
A country of more than one billion breathed a collective sigh of relief and quickly erupted in celebration as Wing Commander Abhinandan Varthaman walked into India from the Attari-Wagah border after three days in Pakistan's captivity. The ace Indian Air Force pilot's MiG-21 plane went down over the Line of Control on Wednesday after he shot down a far more advanced Pakistani F-16 fighter jet during the first aerial encounter between the two countries in nearly half a century.,https://www.ndtv.com/india-news/iaf-pilot-abhinandan-varthaman-released-jubilation-relief-as-wing-commander-is-back-home-2001453
