intro,links
"Maha Shivratri is also called the ""the great night of Shiva"" and comes just before the arrival of Spring season. It will be celebrated on March 4 and will be extended till March 5.",https://www.ndtv.com/india-news/mahashivratri-2019-date-time-significance-and-puja-timings-2001082
"External Affairs Minister Sushma Swaraj is in Abu Dhabi to attend the foreign ministers' meet of the Organisation of Islamic Cooperation (OIC) states where she is expected to raise the issue of terrorism, amidst Indo-Pak tensions following the Pulwama terror attack.",https://www.ndtv.com/india-news/sushma-swaraj-in-uae-likely-to-raise-terror-issue-in-oic-organisation-of-islamic-cooperation-meet-2001076
"Punjab Chief Minister Amarinder Singh, who yesterday offered to receive Wing Commander Abhinandan Varthaman when he returns home from captivity in Pakistan, today said he has not heard from the centre and won't be going to receive the Indian Air Force pilot.",https://www.ndtv.com/india-news/amarinder-singh-says-wont-go-to-wagah-to-receive-abhinandan-varthaman-after-tweeting-request-to-pm-n-2001068
"Goa tourism minister, Manohar Ajgaonkar inaugurated 'The Grape Escapade', a festival celebrating the finest of wines, food, fashion and entertainment on Thursday. ""Goans can indulge in merriment because young soldiers of the Indian Army are guarding our borders,"" the minister said, after inaugurating the four-day event amid heightened tension between India and Pakistan.",https://www.ndtv.com/goa-news/goa-tourism-minister-manohar-ajgaonkar-says-indulge-in-merriment-indian-army-guarding-the-borders-2001064
A large number of people have assembled at the Attari Joint Check Post (JCP) here on Friday to receive Indian Air Force (IAF) pilot Abhinandan Varthaman who is likely to be released by Pakistani authorities later in the day.,https://www.ndtv.com/india-news/air-force-pilot-abhinandan-varthamans-release-people-gather-at-attari-ahead-of-pilots-return-2001062
"Bihar Chief Minister Nitish Kumar turns 68 today. PM Modi, Arun Jaitley, Piyush Goyal, other leaders pour wishes for him on micro-blogging site Twitter.",https://www.ndtv.com/india-news/nitish-kumar-birthday-pm-modi-leaders-wish-bihar-chief-minister-2001040
"The capital's winter season this year has been colder and more prolonged than the last few years.National Capital on Friday woke up to a cold morning with the minimum temperature settling at 6.8 degrees Celsius, six notches below the season's average.",https://www.ndtv.com/india-news/cold-morning-in-delhi-mercury-dips-to-6-8-degrees-celsius-2001036
The homes and offices of former ICICI Bank chief executive Chanda Kochhar and Videocon managing director Venugopal Dhoot were searched by the Enforcement Directorate today in a loan case.,https://www.ndtv.com/india-news/ex-icici-bank-chief-chanda-kochhar-videocon-chief-venugopal-dhoots-homes-searched-by-enforcement-dir-2001012
"Indian Air Force pilot Abhinandan Varthaman, captured by Pakistan after an aerial fight, will return today after Pakistani Prime Minister Imran Khan announced his release as a ""peace gesture"".",https://www.ndtv.com/india-news/pakistan-to-free-iaf-pilot-abhinandan-varthaman-today-amid-fierce-global-pressure-2000997
"It was a moving sight as co-passengers of Wing Commander Abhinandan Varthaman's parents stood up, cheered and clapped and gave them way, after the plane landed at Delhi airport about an hour after midnight. Wing Commander Abhinandan, who was captured by Pakistan army will be released today, Prime Minister Imran Khan had said on Thursday.",https://www.ndtv.com/india-news/wing-commander-abhinandan-varthamans-parents-cheered-by-co-passengers-in-plane-as-they-arrive-to-rec-2000985
"The United States has welcomed Pakistan's decision to release Indian Air Force pilot, Wing Commander Abhinandan Varthaman, who is currently in their custody after his fighter jet crashed in Pakistan-occupied Kashmir.",https://www.ndtv.com/india-news/us-welcomes-pakistans-decision-to-release-detained-indian-air-force-pilot-abhinandan-varthaman-2000977
"External Affairs Minister Sushma Swaraj Thursday arrived in Abu Dhabi to attend the foreign ministers'' meet of the Organisation of Islamic Cooperation (OIC) states, an influential grouping of 57 countries.",https://www.ndtv.com/india-news/sushma-swaraj-arrives-in-abu-dhabi-to-attend-islamic-nations-conclave-2000974
"Angry over being challaned, three persons, including an auto-taxi driver union leader, allegedly thrashed a traffic police constable New Delhi railway station, police said Thursday.",https://www.ndtv.com/india-news/traffic-constable-thrashed-for-issuing-challan-in-delhi-2000963
"Indian Air Force pilot Abhinandan Varthaman will be released today by Pakistan. Wing Commander Varthaman will be received at the Wagah border on Friday evening, as per reports.",https://www.ndtv.com/india-news/india-pakistan-tension-live-updates-pakistan-to-release-air-force-pilot-abhinandan-varthaman-today-2000962
"The release of an Indian pilot by Pakistan would be a ""very much welcomed step"", spokesperson for UN chief Antonio Guterres said Thursday, stressing that the message to India and Pakistan from the world body and the international community is to de-escalate tensions.",https://www.ndtv.com/india-news/paks-release-of-indian-air-force-pilot-abhinandan-varthaman-very-much-welcomed-step-un-2000960
Two terrorists have reportedly been killed in an encounterin Jammu and Kashmir's Kupwara. A security personnel was reportedly injured in the gunbattle in Handwara in the north Kashmir district.,https://www.ndtv.com/india-news/encounter-underway-in-jammu-and-kashmirs-kupwara-2-3-terrorists-believed-to-be-trapped-2000952
"In a shocking case of mob lynching, two men were beaten to death by the villagers of Gargaon on suspicion of killing the village headman on Wednesday, police said.",https://www.ndtv.com/india-news/2-men-in-assam-beaten-to-death-on-suspicion-of-killing-village-headman-2000951
"US Secretary of State Mike Pompeo said Thursday he had ""good conversations"" with Indian and Pakistani leaders and was hopeful that the rising tension will come down between the two nuclear-armed neighbours.",https://www.ndtv.com/india-news/mike-pompeo-says-us-hopeful-of-taking-down-india-pak-tensions-2000945
"Andhra Pradesh Chief Minister N Chandrababu Naidu on Thursday asked Prime Minister Narendra Modi if he was not ashamed to visit the state with ''empty hands'' and said he owed an explanation to ''five crore people'' over unfulfilled promises,vis-a-vis the AP Reorganisation Act,2014.",https://www.ndtv.com/india-news/chandrababu-naidu-jabs-pm-narendra-modi-not-ashamed-to-visit-andhra-pradesh-with-empty-hands-2000943
"Post India's air strike on terror camps in Pakistan, Union minister Dharmendra Pradhan Thursday said Prime Minister Narendra Modi's detractors would now admit that ""chowkidar sher hai"" (watchman is a lion).",https://www.ndtv.com/india-news/pm-modis-critics-should-admit-chowkidar-sher-hai-minister-2000942
"China Thursday appeared non-committal about its stand on a fresh proposal moved by the US, the UK and France in the UN Security Council to designate Pakistan-based terror group Jaish-e-Mohammed chief Masood Azhar as a global terrorist.",https://www.ndtv.com/india-news/china-non-committal-on-move-to-list-masood-azhar-as-global-terrorist-2000939
"The Congress is likely to contest on 10 to 12 seats in Bihar and Lalu Yadav's Rashtriya Janata Dal will fight on 20 as part of the grand alliance or Mahagathbandhan for the Lok Sabha elections that are due by May, sources have said.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-congress-likely-to-get-10-12-seats-in-bihar-mahagathbandhan-sources-2000935
"Hours after Pakistan Prime Minister Imran Khan announced that Indian Air Force pilot Abhinandan Varthaman will be released on Friday, Punjab Chief Minister Amarinder Singh, in a tweet to PM Narendra Modi, today offered to receive him at the Attari border in Amritsar.",https://www.ndtv.com/india-news/amarinder-singhs-tweet-to-pm-on-pilot-abhinandan-varthaman-2000930
"The Delhi High Court on Thursday directed a Pakistani woman, against whom there are adverse security reports, to leave India within two weeks.",https://www.ndtv.com/india-news/delhi-high-court-directs-pak-woman-to-leave-india-within-2-weeks-2000929
"After directing YouTube to pull down objectionable video links of Indian Air Force pilot Abhinandan Varthaman, the government on Thursday sent out a stern warning to social media firms not to allow their platforms to be abused for ""weakening the morale of the country"".",https://www.ndtv.com/india-news/government-to-social-media-companies-ensure-platforms-not-used-to-weaken-countrys-morale-2000927
"Political sparring over an event organised by the ruling BJP amid India-Pakistan tensions inspired the hashtag #MeraJawanSabseMajboot, which outdid its rivals on Twitter's trending list today by its sheer simplicity and stickiness. It was born as a counter to #MeraBoothSabseMajboot, the BJP's tagline for Prime Minister Narendra Modi's video conference with millions of party workers ahead of the national election due by May.",https://www.ndtv.com/india-news/why-merajawansabsemajboot-topped-trending-lists-today-2000926
"Two weeks after he was injured in the Pulwama terror attack that left over 40 of his colleagues dead, CRPF constable Awadhesh Kumar Thursday returned to his native village in Gorakhpur and celebrated his daughter's birthday.",https://www.ndtv.com/india-news/crpf-soldier-injured-in-pulwama-attack-returns-home-on-daughters-birthday-2000925
"The Union Cabinet on Thursday approved setting up of a new AIIMS at Manethi in Rewari District, Haryana at a cost of <span class=""rupee"">R<span>s.</span></span> 1,299 crore.",https://www.ndtv.com/india-news/union-cabinet-approves-setting-up-of-aiims-in-haryana-2000920
"Prime Minister Narendra Modi on Thursday urged scientists to mould their research in accordance with the needs of the society and the economy, and pitched for inter-disciplinary research.",https://www.ndtv.com/india-news/pm-narendra-modi-scientists-and-researchers-cant-be-working-in-silos-2000919
"A 60-year-old woman died on the spot and another elderly woman sustained injuries Thursday when an Army truck hit them in Imphal East district, police said.",https://www.ndtv.com/india-news/60-year-old-woman-killed-in-manipur-after-being-hit-by-army-truck-2000917
"The Indian Air Force pilot Abhinandan Varthaman, who was captured by Pakistan after his MiG-21 plane crashed on the Pakistani side after an aerial skirmish on the Line of Control, is receiving love and support on Twitter, with a number of hashtags bearing his name trending on the micro-blogging website.",https://www.ndtv.com/india-news/abhinandan-varthaman-my-hero-salutes-to-air-force-pilots-courage-on-twitter-2000882
"Three service representatives of the nation gathered at the heart of Delhi today to spell out the armed forces' position on the escalation of tension with Pakistan and yesterday's dogfight with its Air Force. Pakistan, they said, had escalated matters by targetting military installations in response to the Indian Air Force strike on a terror camp.",https://www.ndtv.com/india-news/pakistan-used-missile-meant-for-terrorists-against-india-says-indian-air-force-2000881
Abu Dhabi Crown Prince Mohamed bin Zayed al-Nahyan on Thursday telephoned Prime Minister Narendra Modi and his Pakistani counterpart Imran Khan as part of his efforts to de-escalate Indo-Pak tensions and underline the importance of dialogue and communication in resolving differences.,https://www.ndtv.com/india-news/abu-dhabi-crown-prince-calls-pm-modi-imran-khan-amid-rising-tensions-2000876
"India sighed with relief when Pakistan's Prime Minister Imran Khan announced that Wing Commander Abhinandan Varthaman would be sent home on Friday as a ""peace gesture"" -- a move that came with immense international pressure to pull both countries back from the brink.",https://www.ndtv.com/india-news/abhinandan-varthaman-release-how-the-us-uae-and-saudi-arabia-put-pressure-on-pakistan-2000874
Prime Minister Narendra Modi chaired a high-level meeting at his residence on security this evening amid the heightened tensions with Pakistan.,https://www.ndtv.com/india-news/amid-india-pakistan-tensions-pm-narendra-modi-chairs-high-level-meeting-on-security-2000867
"After accusing the Central government of a ""scam"" in the tender for operating five international airports, including Thiruvananthapuram, to Adani Enterprises, Kerala Chief Minister Pinarayi Vijayan on Thursday wrote to Prime Minister Narendra Modi seeking the airport in Thiruvananthapuram not be handed over to Adani.",https://www.ndtv.com/india-news/dont-give-thiruvanthapuram-airport-to-adani-pinarayi-vijayan-to-pm-modi-2000866
"Wing Commander Abhinandan Varthaman, the captured Indian Air Force pilot who will be released by Pakistan tomorrow as a ""gesture of peace"", has been admired for his presence of mind and fortitude in enemy captivity.",https://www.ndtv.com/india-news/pilot-abhinandan-varthamans-grit-thats-all-im-supposed-to-tell-you-2000864
"AgustaWestland firm on Wednesday informed the Delhi High Court that it is withdrawing arbitration proceedings against India, pending before an arbitration tribunal in wake of serious criminal charges against them.",https://www.ndtv.com/india-news/withdrawing-arbitration-proceedings-against-india-agustawestland-to-court-2000862
A Delhi court today said it will go ahead with the hearing of the 2016 sedition case against former JNU Students Union president Kanhaiya Kumar and others even if the Delhi government doesn't give its sanction to prosecute them.,https://www.ndtv.com/india-news/will-go-ahead-in-hearing-in-sedition-case-against-kanhaiya-kumar-court-2000860
"Days after hinting at plans to play a ""larger role in serving the people"", businessman Robert Vadra today indicated to news agency ANI that he would be open to contesting from Uttar Pradesh's Moradabad if the people want him to. ""Just because I help people, some think that I am inclined towards politics. It is not necessary to be a politician to help and serve the people. But I will get into politics if people feel that I can bring about a change in good time,"" Mr Vadra - the brother-in-law of Congress president Rahul Gandhi - was quoted as saying.",https://www.ndtv.com/india-news/robert-vadra-hints-at-contesting-polls-from-uttar-pradeshs-moradabad-2000854
Wing Commander Abhinandan Varthaman comes from a family which has served the country for generations.,https://www.ndtv.com/india-news/abhinandan-varthaman-captured-indian-pilot-comes-from-family-of-air-force-veterans-2000853
Former Karnataka Chief Minister Siddaramaiah on Thursday asked Home Minister MB Patil to take legal action against people impersonating him on the social media with an intent to malign his identity.,https://www.ndtv.com/india-news/siddaramaiah-seeks-legal-action-against-men-impersonating-his-identity-online-2000842
Nobel laureate Kailash Satyarthi in New Delhi on Thursday urged India and Pakistan to exercise restraint and create an atmosphere of trust and transparency.,https://www.ndtv.com/india-news/iaf-air-strikes-in-balakot-pakistan-kailash-satyarthi-urges-india-pakistan-to-exercise-restraint-2000839
"Prime Minister Narendra Modi on Thursday said his act of washing the feet of sanitation workers in Allahabad recently was not intended for political gains, but an outcome of his ''sanskar'' (values).",https://www.ndtv.com/india-news/pm-modi-says-washing-feet-of-sanitation-workers-part-of-his-sanskar-2000838
"After being suspended on Wednesday, routine commercial flight operations started on Thursday at both the Srinagar and Jammu airports.",https://www.ndtv.com/india-news/iaf-air-strikes-flight-operations-begin-at-srinagar-jammu-after-suspension-on-wednesday-2000837
Pakistan Prime Minister Imran Khan's announcement about the release of captured Wing Commander Abhinandan Varthaman was greeted by a cryptic remark from Prime Minister Narendra Modi.,https://www.ndtv.com/india-news/pm-narendra-modis-cryptic-remark-after-pakistans-promise-to-release-abhinandan-varthaman-2000832
