intro,links
Four miners were killed inside an illegal coal mine in Nagaland on Sunday. The mine is in a remote village close to the border with Assam. The incident comes over two months after at least 15 miners were trapped in an illegal coal mine in Meghalaya.,https://www.ndtv.com/india-news/nagaland-mine-after-meghalaya-four-miners-dead-in-illegal-mine-in-nagalands-longleng-2002148
Minister of State for Defence Dr Subhash Bhamre met Indian Air Force (IAF) Wing Commander Abhinandan Varthaman at Research and Referral Hospital in Delhi Cantonment on Sunday.,https://www.ndtv.com/india-news/minister-of-state-for-defence-minister-subhash-bhamre-meets-wing-commander-abhinandan-varthaman-2002145
Delhi Commission for Women chairperson Swati Maliwal requested President Ram Nath Kovind to streamline the judicial process to ensure hanging of the four convicts in the 2012 gang rape-and-murder case.,https://www.ndtv.com/india-news/expedite-judicial-process-in-nirbhaya-rape-case-swati-maliwal-writes-to-president-2002143
"Former Bihar Chief Minister Jitan Ram Manjhi called the Sankalp Rally by the NDA in Patna on Sunday a ""big flop"","" saying that the rally failed to draw large crowd.",https://www.ndtv.com/india-news/nda-sankalp-rally-a-big-flop-says-jitan-ram-manjhi-2002142
"Mahashivratri 2019, Maha Shivratri, 2019: Mahashivratri is being celebrated across the country today, with people queuing outside temples to worship Lord Shiva, known as the ""destroyer of evil"".",https://www.ndtv.com/india-news/mahashivratri-2019-maha-shivratri-2019-happy-mahashivratri-devotees-queue-outside-temples-2002138
"The Prayagraj Kumbh Mela 2019 has secured place in the Guinness Book of World Records for the largest crowd management, largest sanitation drive and largest painting exercise of public sites, the government said in New Delhi on Sunday.",https://www.ndtv.com/india-news/prayagraj-kumbh-mela-enters-guinness-book-of-world-records-2002131
"Maha Shivratri 2019: Maha Shivaratri is a Hindu festival celebrated across the country to worship Lord Shiv, also called the ""destroyer of evil"". Maha Shivaratri is a festival which marks the beginning of spring. This major festival, also known as ""the great night of Shiva"", celebrates the overcoming of darkness and ignorance.",https://www.ndtv.com/india-news/maha-shivaratri-2019-all-you-need-to-know-about-the-great-night-of-shiva-2002123
Chief Election Commissioner Sunil Arora will be on a two-day visit to Jammu and Kashmir from today to assess the ground situation in the state for holding the Lok Sabha and assembly polls together.,https://www.ndtv.com/india-news/chief-election-commissioner-sunil-arora-to-visit-jammu-and-kashmir-to-assess-poll-preparation-2002114
Former Chief Justice of Gauhati High Court Ajit Singh has been appointed as the first Lokayukta of Odisha.,https://www.ndtv.com/india-news/ex-chief-justice-of-gauhati-high-court-ajit-singh-becomes-odishas-first-lokayukta-2002112
"Accusing the Congress-led UPA of running a ""terrible"" government and even a ""more terrible"" opposition, Finance Minister Arun Jaitley Sunday said their statements have hurt India's national interest and gave handle to Pakistan to discredit the country.",https://www.ndtv.com/india-news/arun-jaitley-says-opposition-remarks-on-iaf-air-strike-hurt-national-interest-2002110
"At a time when politicians across the country are trying to cash in on the heroics of Indian Air Force (IAF) pilot Abhinandan Varthaman in an India-Pakistan aerial dogfight, Congress leader Salman Khurshid on Sunday tried throwing his party's hat into the ring too. ""Many kudos for Wing Commander Abhi Varthaman, the face of India's resistance to enemy aggression. Great poise and confidence in face of adversity. We are proud that he received his wings in 2004 and matured as a fighter pilot during UPA (rule),"" he tweeted.",https://www.ndtv.com/india-news/salman-khurshid-trolled-for-linking-abhinandan-varthaman-to-congress-rule-2002108
"Accusing opposition parties of promoting dynastic politics, BJP president Amit Shah on Sunday said that a democratic system was adopted in the country so that a ""foolish son"" of a monarch did not come to power.",https://www.ndtv.com/india-news/bjp-president-amit-shah-says-democracy-ensures-kings-foolish-son-does-not-become-ruler-2002107
"India's most wanted terrorist and Jaish-e-Mohammed chief Masood Azhar is ""alive"", a Pakistani media report said on Sunday, quoting unnamed sources close to his family.",https://www.ndtv.com/india-news/masood-azhar-jaish-e-mohammed-chief-is-alive-report-2002104
"The Haryana government on Sunday issued transfer and posting orders for nine IAS officers with immediate effect, including 1991-batch senior bureaucrat Ashok Khemka.",https://www.ndtv.com/india-news/ashok-khemka-among-nine-ias-officers-transferred-in-haryana-2002094
Facebook Vice-President Joel Kaplan will appear before the Parliamentary Committee on Information Technology in New Delhi on March 6 to explain what the social media giant and its subsidiaries--WhatsApp and Instagram are doing to safeguard citizen's rights across platforms.,https://www.ndtv.com/india-news/facebook-vice-president-joel-kaplan-to-appear-before-parliamentary-panel-on-march-6-2002092
