intro,links
"Omar Abdullah and Mehbooba Mufti on Monday released a joint appeal, saying it was the terrorists that attacked the soldiers, not ""Muslims"" of the state.",https://www.ndtv.com/india-news/pulwama-terror-attack-omar-abdullah-mehbooba-muftis-warning-against-hounding-kashmiris-1995437
"As the entire nation unites in grief and anger over the terror attack in Jammu and Kashmir Pulwama's on Thursday, that left 40 CRPF soldiers dead, Prime Minister Narendra Modi said today that the time for talks with Pakistan is over. In Bihar, yesterday, PM Modi expressed his anguish over the attack and said ""a fire is raging in my heart.""",https://www.ndtv.com/india-news/pulwama-terror-attack-prime-minister-narendra-modi-says-time-for-talks-with-pakistan-over-1995435
"The last rites of Major Chitresh Bisht were still underway in Haridwar today, when the army said that Major Vibhuti Dhoundiyal had died in an encounter with terrorists in Jammu and Kashmir's Pulwama.",https://www.ndtv.com/india-news/pulwama-encounter-major-vibhuti-dhoundiyal-second-officer-from-uttarakhand-to-be-killed-in-3-days-1995404
"Demanding a strong action against Pakistan in the wake of the Pulwama terror attack that killed over 40 CRPF personnel, Punjab Chief Minister Amarinder Singh said the security forces must kill double the number to send a strong message to the terrorists' organisation and Pakistan.",https://www.ndtv.com/india-news/amarinder-singh-wants-revenge-for-pulwama-attack-should-get-82-of-them-1995403
"A 10-year-old girl was raped multiple times allegedly by her neighbour, police said today.",https://www.ndtv.com/india-news/10-yr-old-raped-multiple-times-by-neighbour-1995402
"A woman was allegedly raped at her birthday party organised at a friend's house in Maharashtra's Palghar district, police said today.",https://www.ndtv.com/india-news/teenage-girl-allegedly-raped-at-her-birthday-party-in-maharashtras-palghar-2-booked-1995387
"Masood Azhar, the chief of Pakistan-based terror group Jaish-e-Mohammed, was an ""easy man"" to handle in custody and he got shaken up on the first ""slap"" from an Army officer, prompting him to blurt out details of his movements, said a former police officer who interrogated him after his arrest in 1994.",https://www.ndtv.com/india-news/slap-from-an-army-officer-shook-masood-azhar-says-former-cop-avinash-mohananey-who-questioned-him-1995381
"A Border Security Force (BSF) constable drowned in river Padma while chasing cow smugglers near the Indo-Bangla border in West Bengal's Murshidabd district, an official said.",https://www.ndtv.com/india-news/bsf-constable-drowns-while-chasing-cow-smugglers-near-indo-bangla-border-1995369
"Punjab Minister Navjot Singh Sidhu, lacerated over his comment after the Pulwama terror attack that an ""entire nation can't be held responsible"" was defiant today as he said he was firm on his stand, that the country's fight is against terrorism and perpetrators of terror.",https://www.ndtv.com/india-news/navjot-sidhu-parries-attacks-on-pulwama-remarks-what-about-kandahar-1995368
"The commonly used anti-theft remote alarms or keys used in motorcycles and vehicles are being increasingly used by terrorists to trigger improvised explosive devices (IED) in Jammu and Kashmir,",https://www.ndtv.com/india-news/terrorists-using-remote-motorcycle-keys-to-trigger-blasts-in-kashmir-report-1995364
"Delhi Chief Minister Arvind Kejriwal - known for his  many battles with Lieutenant Governors of Delhi, today met his Puducherry counter V Narayansamy, currently on protest against Lieutenant Governor Kiran Bedi. The meeting, Mr Kejriwal underscored, was not a political one, it was rather to discuss the ""fight for complete statehood"" that Delhi and Puducherry must have.",https://www.ndtv.com/india-news/arvind-kejriwal-meets-v-narayansamy-revives-statehood-demand-for-delhi-puducherry-1995363
"A man's nose was chopped off allegedly by the family of his lover in Gujarat's Amreli district, leading to the arrest of five persons, police said Monday.",https://www.ndtv.com/india-news/mans-nose-chopped-off-by-lovers-family-in-gujarat-1995324
Union Minister of State for External Affairs General VK Singh on Monday said Pakistan has been isolated internationally after the Pulwama terror attack.,https://www.ndtv.com/india-news/pakistan-isolated-internationally-after-pulwama-terror-attack-vk-singh-1995315
The Supreme Court on Monday refused to entertain a petition seeking court-monitored investigation into incidents of fighter plane crashes including the recent crash of Mirage-2000 trainer aircraft near Bengaluru in which two Indian Air Force (IAF) pilots were killed.,https://www.ndtv.com/india-news/supreme-court-refuses-to-entertain-petition-seeking-judicial-probe-into-fighter-plane-crashes-1995302
"The Calcutta High Court today allowed a 42-year-old woman to terminate her 29-week pregnancy since the foetus was suffering from Down Syndrome, considering her claim of mental, physical and financial stress.",https://www.ndtv.com/india-news/calcutta-high-court-allows-woman-to-terminate-29-week-pregnancy-1995300
"Uttar Pradesh Assembly witnessed an unusual situation today as a Samajwadi Party legislator broke into tears, saying his <span class=""rupee"">R<span>s.</span></span> 10 lakh was stolen and if it was not recovered, he would ""commit suicide"".",https://www.ndtv.com/india-news/sp-mla-breaks-down-in-house-says-he-has-been-robbed-off-rs-10-lakh-1995294
"The Bihar Assembly plunged into turmoil on Monday, forcing adjournment till 2 pm within minutes of commencement of proceedings, as the opposition MLAs kicked up a ruckus demanding the resignation of Chief Minister Nitish Kumar over the Muzaffarpur shelter home sex scandal.",https://www.ndtv.com/india-news/lawmakers-demand-nitish-kumar-s-resignation-over-bihar-shelter-home-case-1995289
"Kulbhushan Jadhav case: a huge face-off with Pakistan following the deadly terror strike at Pulwama,  India is presenting its case at the International Court of Justice, seeking cancellation of the death sentence of Kulbhushan Jadhav - an Indian national whom Pakistan accused of spying .",https://www.ndtv.com/india-news/kulbhushan-jadhav-case-pakistan-misusing-this-court-international-court-of-justice-for-propaganda-in-1995275
"With a view to preventing infighting due to ticket distribution, the Congress has directed all its state units to expedite the process of candidate selection as well as state-wise electoral understanding for the Lok Sabha before this month which shall be then approved by the Congress Election Committee.",https://www.ndtv.com/india-news/congress-directs-state-units-to-finalise-candidates-manifesto-by-february-1995274
"A group of unidentified young men in Kolkata have abused and threatened a Kashmiri doctor who has lived in the city for the last 22 years, is married to a Bengali and has two young children going to a top city school. The incident is the latest one after reported emerged of people from Kashmir being harassed attack the terror attack in Jammu and Kashmir's Pulwama in which over 40Central Reserve Police Force (CRPF) personnel laid down their lives.",https://www.ndtv.com/india-news/kashmiri-doctor-in-kolkata-claims-he-was-threatened-after-pulwama-terror-attack-1995269
"Asking Congress chief Rahul Gandhi to announce the name of the leader of the opposition alliance, BJP president Amit Shah on Monday said the grand alliance was moving forward only on the slogan of ""Modi hatao"".",https://www.ndtv.com/india-news/amit-shah-asks-rahul-gandhi-to-announce-leader-of-opposition-alliance-1995266
"The Opposition Shiromani Akali Dal Monday sought dismissal of Punjab minister Navjot Singh Sidhu for his ""utterances"" in the aftermath of the Pulwama attack even as Akali leader Bikram Singh Majithia and the cricketer-turned-politician exchanged barbs in the House.",https://www.ndtv.com/india-news/shiromani-akali-dal-burns-photos-of-navjot-sidhus-pak-visit-demand-his-removal-1995259
"The Vande Bharat Express, India's first semi high-speed train, arrived in Varanasi on Sunday almost one and half hours behind schedule on its first commercial run due to ""dense fog"", officials said today. On its return journey, it was again delayed by one hour fifty minutes.",https://www.ndtv.com/india-news/vande-bharat-express-delayed-due-to-dense-fog-on-first-commercial-run-1995246
"The Supreme Court on Monday refused to entertain a petition challenging Centre's notification advising the media to not use the term ""Dalit"" to describe members of Scheduled Castes.",https://www.ndtv.com/india-news/supreme-court-not-to-interfere-on-centres-order-against-use-of-term-dalit-1995236
"Actor-politician Kamal Haasan has clarified after a controversy over comments apparently questioning why the government did not carry out a plebiscite in Kashmir. He said today that plebiscite is ""no longer relevant"" and Kashmir is an integral part of India.",https://www.ndtv.com/india-news/kamal-haasan-clarifies-amid-row-over-plebiscite-comments-on-kashmir-1995235
"After three years of unrestrained attacks on Prime Minister Narendra Modi and the BJP, the Shiv Sena is set to seal its alliance with the ruling party for the national election due by May.",https://www.ndtv.com/india-news/bjp-shiv-sena-agree-on-50-50-formula-likely-to-announce-alliance-today-1995224
"Security forces today scored a big success with the killing of a top terrorist of Jaish-e-Mohammad, the Pakistan-based group that carried out the suicide bombing in Pulwama on February 14, killing over 40 soldiers.",https://www.ndtv.com/india-news/jaish-e-mohammad-terrorist-kamran-pulwama-attack-mastermind-killed-in-12-hour-encounter-1995220
Leading international carrier Singapore Airlines on Monday said it would fly Airbus A350-900 medium haul aircraft between Bengaluru and Singapore thrice a week from May 18.,https://www.ndtv.com/india-news/singapore-airlines-to-fly-airbus-a350-from-bengaluru-from-may-18-1995216
Prime Minister Narendra Modi was on a visit to Jharkhand on Sunday to inaugurate developmental projects where he spoke with beneficiaries of Ayushman Bharat at an event. Ayushmaan Bharat is the centre's healthcare scheme that was launched in September last year.,https://www.ndtv.com/india-news/jharkhand-man-praises-ayushman-bharat-in-song-pm-modi-in-audience-1995210
"The traders' body called a countrywide Bharat Bandh today, in solidarity with the families of the soldiers, who were killed in the terror attack in Jammu and Kashmir's Pulwama on February 14.",https://www.ndtv.com/india-news/pulwama-terror-attack-bharat-bandh-called-by-traders-body-in-solidarity-with-families-of-crpf-jawans-1995190
"The traders' body called a countrywide Bharat Bandh today, in solidarity with the families of the soldiers, who were killed in the terror attack in Jammu and Kashmir's Pulwama on February 14.",https://www.ndtv.com/india-news/pulwama-terror-attack-bharat-bandh-called-by-traders-body-in-solidarity-with-families-of-crpf-jawans-1995190
A Delhi court Monday extended till March 8 the interim protection from arrest granted to former Union minister P Chidambaram and his son Karti in the Aircel-Maxis cases filed by the CBI and the ED.,https://www.ndtv.com/india-news/protection-from-arrest-to-p-chidambaram-son-karti-extended-till-march-8-in-aircel-maxis-case-1995185
The Pakistan High Commissioner to India has been called back to Islamabad for consultations amid tensionbetween the neighbouring countries over the Pulwama terror attack in which over 40 soldiers of the Central Reserve Police Force (CRPF) laid down their lives last Thursday.,https://www.ndtv.com/india-news/pakistan-calls-back-its-envoy-in-india-for-consultations-amid-tension-over-pulwama-attack-in-which-4-1995180
"Kirti Azad, suspended by the BJP three years ago, joined the Congress today and called it ""gharwapsi (homecoming)"", months before the national election due by May. Rahul Gandhi led the welcome squad as Kirti Azad, a former cricketer who was a part of the 1983 World Cup squad, joined the Congress.",https://www.ndtv.com/india-news/kirti-azad-suspended-by-bjp-after-accusing-arun-jaitley-joins-congress-1995170
An army officer who was killed on Saturday while defusing an improvised explosive device in Jammu and Kashmir's Rajouri got an emotional farewell in his hometown in Uttarkhand as thousands of people joined his funeral procession.,https://www.ndtv.com/india-news/major-chitresh-singh-bisht-was-to-come-home-to-dehradun-for-wedding-now-amar-rahe-at-final-journey-1995115
"The controversial Sterlite copper smelting plant in Tamil Nadu, closed after protests last year over alleged pollution, will stay shut, the Supreme Court said today. The court was hearing the Vedanta group's request for a direction to Tamil Nadu's pollution control body to implement an order by the National Green Tribunal which allowedthe copper plant to reopen, in a case that is seen as politically sensitive.",https://www.ndtv.com/india-news/sterlite-plant-in-tamil-nadu-closed-after-protests-last-year-over-alleged-pollution-will-stay-shut-s-1995114
"The strategic Jammu-Srinagar highway is slated to open for one-way traffic on Monday, according to a traffic department official.",https://www.ndtv.com/india-news/jammu-srinagar-highway-to-open-for-one-way-traffic-1995113
The curfew in Jammu continued on Monday for the fourth consecutive day with authorities likely to take a decision on its relaxation later.,https://www.ndtv.com/india-news/pulwama-terror-attack-curfew-in-jammu-continues-for-fourth-day-after-pulwama-terror-attack-1995090
"Chief Justice of India Ranjan Gogoi has said that motives being attributed to judges on Supreme Court rulings is ""disturbing"" and will prevent young people from going for the top legal post, breaking his silence in an exclusive interview to NDTV.",https://www.ndtv.com/india-news/chief-justice-ranjan-gogoi-tells-ndtv-mud-slinging-against-judges-dangerous-1995071
"Four days after the devastating attack on the CRPF convoy in Jammu and Kashmir's Pulwama which cost over 40 lives, today is the fourth day of curfew in Jammu And Kashmir.",https://www.ndtv.com/india-news/pulwama-terror-attack-after-pulwama-terror-attack-fourth-day-of-curfew-in-jammu-and-kashmir-1995060
"The Jammu and Kashmir government Sunday asked its liaison officers across the country to ensure safety of Jammu and Kashmir students studying in other states following reports of alleged harassment after the Pulwama terror attack, an official spokesman said.",https://www.ndtv.com/india-news/jammu-and-kashmir-government-asks-liaison-officers-to-ensure-students-safety-1995057
"Dreaded Jaish-e-Mohammad ""commander""and a key aide of Pakistani terroristMasood Azhar, Kamran, was killed in an encounter today in Pulwama. Kamran was a trusted aide ofAzhar, responsible for recruiting, radicalising and training terrorists in the Kashmir Valley.",https://www.ndtv.com/india-news/4-armymen-killed-in-overnight-encounter-in-pulwama-in-jammu-and-kashmir-1995055
Actor-turned-politician Kamal Haasan on Sunday took digs at DMK President MK Stalin and Rajinikanth.,https://www.ndtv.com/india-news/2019-lok-sabha-elections-kamal-haasan-jibes-at-mk-stalins-torn-shirt-rajinikanths-wrestling-1995051
"Invest India Grid was launched in Saudi Arabia during the visit of a NITI Aayog delegation with 40 opportunities of investment, trade and business also identified during the visit.",https://www.ndtv.com/india-news/niti-aayog-delegation-visits-saudi-arabia-invest-india-grid-launched-1995041
